Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Cust_Since(yrs),Num_Childrns,AcceptedCmp,Total_amt_spend,Total_Purchases,Age_Groups
Graduation,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,67,12,0,4,1617,25,Old
Graduation,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,70,10,2,0,27,6,Old
Graduation,Engaged,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,59,11,0,0,776,21,Mid_aged
Graduation,Engaged,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,40,10,1,2,53,8,Young
PhD,Married,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,43,10,1,2,422,19,Young
Master,Engaged,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,57,11,1,2,716,22,Mid_aged
Graduation,Divorced,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,53,12,1,2,590,21,Mid_aged
PhD,Married,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,39,11,1,2,169,10,Young
PhD,Engaged,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,50,11,1,2,46,6,Mid_aged
PhD,Engaged,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,0,74,10,2,0,49,2,Old
Basic,Married,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,48,12,0,0,61,6,Mid_aged
Graduation,Divorced,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,65,11,0,0,1102,16,Mid_aged
Master,Divorced,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,72,11,2,0,310,15,Old
Graduation,Married,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,37,12,0,0,46,5,Young
PhD,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,78,12,0,4,1315,26,Old
Graduation,Married,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,44,12,2,0,96,9,Young
Graduation,Engaged,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,78,12,0,0,317,13,Old
Master,Married,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,75,11,1,2,1782,26,Old
2n Cycle,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,39,12,1,2,133,8,Young
Graduation,Married,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,42,12,0,0,316,12,Young
Graduation,Married,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,45,11,1,2,1730,43,Young
PhD,Married,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,0,75,12,1,2,972,17,Old
PhD,Married,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,70,10,1,2,544,20,Old
Graduation,Engaged,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,73,11,1,2,444,20,Old
Graduation,Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,55,11,0,0,75,8,Mid_aged
Graduation,Married,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,48,11,2,0,257,14,Mid_aged
Graduation,Married,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,35,11,1,2,131,9,Young
PhD,Married,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,59,11,0,0,1672,26,Mid_aged
Master,Divorced,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,35,10,0,0,30,8,Young
Master,Engaged,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,61,11,0,0,318,11,Mid_aged
Graduation,Engaged,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,0,54,12,1,2,120,9,Mid_aged
PhD,Divorced,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,1,72,12,2,4,302,17,Old
Master,Married,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,78,11,0,0,1196,18,Old
Master,Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,73,11,2,0,65,6,Old
PhD,Married,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,54,11,1,2,913,28,Mid_aged
2n Cycle,Married,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,48,11,1,2,81,9,Mid_aged
Graduation,Widow,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,51,10,1,2,67,7,Mid_aged
PhD,Divorced,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,1,81,11,0,4,902,24,Old
Graduation,Married,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,44,11,1,2,1395,21,Young
Master,Married,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,39,11,1,2,53,7,Young
Graduation,Engaged,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,67,12,1,2,22,4,Old
Master,Married,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,49,11,1,2,31,8,Mid_aged
Graduation,Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,48,10,0,0,984,16,Mid_aged
2n Cycle,Married,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,1,28,12,0,4,122,10,Young
Graduation,Engaged,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,56,11,1,2,55,5,Mid_aged
PhD,Married,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,70,12,2,0,1319,28,Old
Graduation,Widow,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,67,10,1,2,507,17,Old
Master,Married,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,60,12,0,0,1693,29,Mid_aged
Graduation,Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,47,11,1,2,72,7,Young
Graduation,Divorced,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,1,47,10,0,4,1617,21,Young
Graduation,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,46,11,2,0,606,23,Young
Master,Engaged,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,1,69,12,0,4,1957,27,Old
Graduation,Divorced,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,1,58,11,0,4,1093,21,Mid_aged
Graduation,Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,36,10,1,2,29,6,Young
PhD,Married,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,56,10,1,2,518,19,Mid_aged
Master,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,42,11,0,4,1438,21,Young
Graduation,Engaged,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,49,12,2,0,612,22,Mid_aged
