Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Cust_Since(yrs),Num_Childrns,AcceptedCmp,Total_amt_spend,Total_Purchases,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Divorced,Marital_Status_Engaged,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widow,Marital_Status_YOLO,Age_Groups_Young,Age_Groups_Mid_aged,Age_Groups_Old,Outliers
58138.0,58,635,79.5,546,120.5,82.875,88.0,3,8,10,4,7,0,1,67,12,0,4,1617.0,25.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-1
46344.0,38,11,1.0,6,2.0,1.0,6.0,2,1,1,2,5,0,0,70,10,2,0,27.0,6.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
71613.0,26,426,49.0,127,111.0,21.0,42.0,1,8,2,10,4,0,0,59,11,0,0,776.0,21.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
26646.0,26,11,4.0,20,10.0,3.0,5.0,2,2,0,4,6,0,0,40,10,1,2,53.0,8.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
58293.0,94,173,43.0,118,46.0,27.0,15.0,5,5,3,6,5,0,0,43,10,1,2,422.0,19.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
62513.0,16,520,42.0,98,0.0,42.0,14.0,2,6,4,10,6,0,0,57,11,1,2,716.0,22.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
55635.0,34,235,65.0,164,50.0,49.0,27.0,4,7,3,7,6,0,0,53,12,1,2,590.0,21.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
33454.0,32,76,10.0,56,3.0,1.0,23.0,2,4,0,4,8,0,0,39,11,1,2,169.0,10.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
30351.0,19,14,0.0,24,3.0,3.0,2.0,1,3,0,2,9,0,1,50,11,1,2,46.0,6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
5648.0,68,28,0.0,6,1.0,1.0,13.0,1,1,0,0,13,0,0,74,10,2,0,49.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,-1
7500.0,59,6,16.0,11,11.0,1.0,16.0,1,2,0,3,8,0,0,48,12,0,0,61.0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
63033.0,82,194,61.0,480,120.5,82.875,30.0,1,3,4,8,2,0,0,65,11,0,0,1102.0,16.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1
59354.0,53,233,2.0,53,3.0,5.0,14.0,3,6,1,5,6,0,0,72,11,2,0,310.0,15.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
17323.0,38,3,14.0,17,6.0,1.0,5.0,1,1,0,3,8,0,0,37,12,0,0,46.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
82800.0,23,1006,22.0,115,59.0,68.0,45.0,1,7,6,12,3,0,1,78,12,0,4,1315.0,26.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-1
41850.0,51,53,5.0,19,2.0,13.0,4.0,3,3,0,3,8,0,0,44,12,2,0,96.0,9.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
37760.0,20,84,5.0,38,120.5,12.0,28.0,2,4,1,6,7,0,0,78,12,0,0,317.0,13.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
76995.0,91,1012,79.5,498,0.0,16.0,126.5,2,11,4,9,5,0,0,75,11,1,2,1782.0,26.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-1
33812.0,86,4,17.0,19,30.0,24.0,39.0,2,2,1,3,6,0,0,39,12,1,2,133.0,8.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
37040.0,41,86,2.0,73,69.0,38.0,48.0,1,4,2,5,8,0,0,42,12,0,0,316.0,12.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
2447.0,42,1,1.0,551,1.0,1.0,1.0,6,0,10,0,1,0,0,45,11,1,2,1730.0,40.5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1
58607.0,63,867,0.0,86,0.0,0.0,19.0,3,2,3,9,8,0,0,75,12,1,2,972.0,17.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
65324.0,0,384,0.0,102,21.0,32.0,5.0,3,6,2,9,4,0,0,70,10,1,2,544.0,20.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
40689.0,69,270,3.0,27,39.0,6.0,99.0,6,7,1,5,8,0,0,73,11,1,2,444.0,20.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
18589.0,89,6,4.0,25,15.0,12.0,13.0,2,2,1,3,7,0,0,55,11,0,0,75.0,8.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
53359.0,4,173,4.0,30,3.0,6.0,41.0,4,5,1,4,7,0,0,48,11,2,0,257.0,14.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
38360.0,26,36,2.0,42,20.0,21.0,10.0,2,2,1,4,3,0,0,35,11,1,2,131.0,9.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
